Unnamed: 0	riders
0	1973-01-01	64800
1	1973-02-01	64600
2	1973-03-01	63900
3	1973-04-01	65400
4	1973-05-01	63000
5	1973-06-01	62200
6	1973-07-01	61700
7	1973-08-01	61300
8	1973-09-01	66100
9	1973-10-01	69500
10	1973-11-01	69000
11	1973-12-01	70700
12	1974-01-01	81700
13	1974-02-01	83900
14	1974-03-01	81000
15	1974-04-01	78900
16	1974-05-01	76000
17	1974-06-01	72400
18	1974-07-01	70400
19	1974-08-01	69100
20	1974-09-01	74500
21	1974-10-01	80300
22	1974-11-01	78000
23	1974-12-01	76100
24	1975-01-01	85700
25	1975-02-01	90700
26	1975-03-01	87300
27	1975-04-01	91000
28	1975-05-01	90000
29	1975-06-01	88000
30	1975-07-01	86700
31	1975-08-01	85400
32	1975-09-01	92800
33	1975-10-01	106400
34	1975-11-01	110300
35	1975-12-01	102600
36	1976-01-01	110200
37	1976-02-01	108000
38	1976-03-01	103400
39	1976-04-01	108300
40	1976-05-01	107800
41	1976-06-01	102000
42	1976-07-01	98400
43	1976-08-01	95200
44	1976-09-01	103300
45	1976-10-01	111400
46	1976-11-01	116000
47	1976-12-01	105800
48	1977-01-01	120900
49	1977-02-01	120000
50	1977-03-01	113000
51	1977-04-01	118200
52	1977-05-01	115200
53	1977-06-01	111600
54	1977-07-01	109800
55	1977-08-01	104400
56	1977-09-01	114200
57	1977-10-01	122200
58	1977-11-01	123400
59	1977-12-01	115500
60	1978-01-01	128600
61	1978-02-01	128100
62	1978-03-01	122400
63	1978-04-01	128000
64	1978-05-01	122800
65	1978-06-01	118100
66	1978-07-01	115600
67	1978-08-01	112400
68	1978-09-01	115200
69	1978-10-01	120500
70	1978-11-01	126000
71	1978-12-01	118800
72	1979-01-01	121200
73	1979-02-01	126900
74	1979-03-01	124600
75	1979-04-01	129900
76	1979-05-01	128400
77	1979-06-01	134500
78	1979-07-01	134100
79	1979-08-01	130800
80	1979-09-01	144800
81	1979-10-01	145400
82	1979-11-01	146700
83	1979-12-01	143100
84	1980-01-01	151000
85	1980-02-01	155800
86	1980-03-01	153600
87	1980-04-01	152300
88	1980-05-01	149200
89	1980-06-01	143700
90	1980-07-01	136500
91	1980-08-01	131000
92	1980-09-01	144100
93	1980-10-01	145000
94	1980-11-01	142400
95	1980-12-01	136000
96	1981-01-01	142900
97	1981-02-01	144000
98	1981-03-01	141400
99	1981-04-01	142400
100	1981-05-01	140800
101	1981-06-01	133700